h,Tilt angle β,δ (declinación),cos(θ) formula 1,cos(θ) formula 2,A,Latitude φ,cos(δ),sin(δ),cos(β),sin(β),cos(ω),sin(ω),cos(y),sin(y),cos(φ),sin(φ),Zenit,Rb
265,0,-0.605442423,0.009409738,0.93592763,5.4,19.32361,0.99994417,-0.010566767,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.93592763,1
266,0,-1.008871364,0.01567928,0.933504736,5.4,19.32361,0.999844981,-0.017607217,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.933504736,1
267,0,-1.412001354,0.0219434,0.931037407,5.4,19.32361,0.99969635,-0.024641578,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.931037407,1
268,0,-1.814712938,0.028199934,0.928526621,5.4,19.32361,0.999498461,-0.031667421,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.928526621,1
269,0,-2.216886783,0.034446723,0.925973409,5.4,19.32361,0.999251559,-0.03868232,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.925973409,1
270,0,-2.618403717,0.040681616,0.923378856,5.4,19.32361,0.998955947,-0.045683861,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.923378856,1
271,0,-3.019144761,0.046902469,0.920744102,5.4,19.32361,0.998611992,-0.052669635,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.920744102,1
272,0,-3.418991168,0.053107147,0.918070338,5.4,19.32361,0.998220115,-0.059637245,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.918070338,1
273,0,-3.817824453,0.059293528,0.915358808,5.4,19.32361,0.997780803,-0.066584309,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.915358808,1
274,0,-4.215526435,0.0654595,0.912610804,5.4,19.32361,0.997294594,-0.073508454,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.912610804,1
275,0,-4.611979266,0.071602967,0.909827668,5.4,19.32361,0.996762089,-0.080407327,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.909827668,1
276,0,-5.007065467,0.077721847,0.907010791,5.4,19.32361,0.996183943,-0.087278588,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.907010791,1
277,0,-5.400667967,0.083814073,0.904161607,5.4,19.32361,0.995560867,-0.09411992,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.904161607,1
278,0,-5.792670132,0.089877598,0.901281598,5.4,19.32361,0.994893629,-0.100929021,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.901281598,1
279,0,-6.182955804,0.095910393,0.898372288,5.4,19.32361,0.994183047,-0.107703614,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.898372288,1
280,0,-6.571409333,0.10191045,0.895435244,5.4,19.32361,0.993429996,-0.114441442,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.895435244,1
281,0,-6.957915612,0.10787578,0.892472073,5.4,19.32361,0.992635398,-0.121140274,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.892472073,1
282,0,-7.34236011,0.11380442,0.88948442,5.4,19.32361,0.99180023,-0.127797905,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.88948442,1
283,0,-7.724628908,0.119694428,0.886473968,5.4,19.32361,0.990925513,-0.134412153,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.886473968,1
284,0,-8.104608732,0.125543887,0.883442436,5.4,19.32361,0.990012321,-0.140980867,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.883442436,1
285,0,-8.482186986,0.131350908,0.880391576,5.4,19.32361,0.989061769,-0.147501923,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.880391576,1
286,0,-8.857251784,0.137113626,0.877323171,5.4,19.32361,0.98807502,-0.153973229,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.877323171,1
287,0,-9.229691988,0.142830204,0.874239038,5.4,19.32361,0.987053278,-0.160392723,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.874239038,1
288,0,-9.599397234,0.148498835,0.871141018,5.4,19.32361,0.985997791,-0.166758374,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.871141018,1
289,0,-9.966257972,0.154117741,0.86803098,5.4,19.32361,0.984909845,-0.173068185,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.86803098,1
290,0,-10.33016549,0.159685174,0.86491082,5.4,19.32361,0.983790765,-0.179320193,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.86491082,1
291,0,-10.69101196,0.165199415,0.861782454,5.4,19.32361,0.98264191,-0.18551247,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.861782454,1
292,0,-11.04869045,0.170658779,0.858647819,5.4,19.32361,0.981464678,-0.191643122,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.858647819,1
293,0,-11.40309498,0.176061612,0.855508871,5.4,19.32361,0.980260496,-0.197710292,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.855508871,1
294,0,-11.75412053,0.181406294,0.852367586,5.4,19.32361,0.979030825,-0.20371216,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.852367586,1
295,0,-12.10166307,0.186691237,0.84922595,5.4,19.32361,0.977777152,-0.209646944,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.84922595,1
296,0,-12.44561963,0.191914886,0.846085966,5.4,19.32361,0.976500994,-0.215512898,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.846085966,1
297,0,-12.78588828,0.197075723,0.842949646,5.4,19.32361,0.975203891,-0.221308316,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.842949646,1
298,0,-13.1223682,0.202172262,0.839819011,5.4,19.32361,0.973887409,-0.227031529,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.839819011,1
299,0,-13.45495968,0.207203053,0.83669609,5.4,19.32361,0.972553132,-0.23268091,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.83669609,1
300,0,-13.78356417,0.21216668,0.833582918,5.4,19.32361,0.971202666,-0.238254869,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.833582918,1
301,0,-14.10808428,0.217061764,0.83048153,5.4,19.32361,0.969837632,-0.243751856,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.83048153,1
302,0,-14.42842387,0.221886959,0.827393965,5.4,19.32361,0.968459669,-0.249170361,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.827393965,1
303,0,-14.744488,0.226640957,0.82432226,5.4,19.32361,0.967070428,-0.254508915,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.82432226,1
304,0,-15.05618303,0.231322485,0.821268449,5.4,19.32361,0.965671569,-0.259766087,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.821268449,1
305,0,-15.36341658,0.235930304,0.818234564,5.4,19.32361,0.964264766,-0.264940487,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.818234564,1
306,0,-15.66609762,0.240463213,0.815222627,5.4,19.32361,0.962851694,-0.270030766,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.815222627,1
307,0,-15.96413645,0.244920044,0.812234652,5.4,19.32361,0.961434039,-0.275035613,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.812234652,1
308,0,-16.25744477,0.249299666,0.809272646,5.4,19.32361,0.960013486,-0.279953756,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.809272646,1
309,0,-16.54593566,0.253600982,0.806338601,5.4,19.32361,0.958591724,-0.284783966,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.806338601,1
310,0,-16.82952363,0.257822932,0.803434495,5.4,19.32361,0.957170437,-0.28952505,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.803434495,1
311,0,-17.10812464,0.261964488,0.800562292,5.4,19.32361,0.95575131,-0.294175855,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.800562292,1
312,0,-17.38165615,0.266024657,0.797723936,5.4,19.32361,0.954336021,-0.298735267,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.797723936,1
313,0,-17.65003711,0.270002482,0.794921356,5.4,19.32361,0.952926241,-0.303202208,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.794921356,1
314,0,-17.91318797,0.273897038,0.792156455,5.4,19.32361,0.951523633,-0.307575641,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.792156455,1
315,0,-18.17103077,0.277707432,0.789431118,5.4,19.32361,0.950129849,-0.311854565,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.789431118,1
316,0,-18.4234891,0.281432806,0.786747203,5.4,19.32361,0.948746528,-0.316038014,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.786747203,1
317,0,-18.67048816,0.285072333,0.784106543,5.4,19.32361,0.947375293,-0.32012506,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.784106543,1
318,0,-18.91195474,0.288625218,0.781510944,5.4,19.32361,0.946017753,-0.324114811,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.781510944,1
