Fecha,Hora,Precio marginal local ($/MWh)
09/04/2017,11,927.57
09/04/2017,12,1054.44
09/04/2017,13,1071.18
09/04/2017,14,1059.27
09/04/2017,15,1057.05
09/04/2017,16,1036.18
09/04/2017,17,1034.93
09/04/2017,18,1023.06
09/04/2017,19,1033.26
09/04/2017,20,1130.18
09/04/2017,21,1591.34
09/04/2017,22,1753.73
09/04/2017,23,1474.71
09/04/2017,24,1058.59
10/04/2017,1,916.65
10/04/2017,2,922.84
10/04/2017,3,837.48
10/04/2017,4,802.01
10/04/2017,5,826.98
10/04/2017,6,844.94
10/04/2017,7,856.18
10/04/2017,8,1023.18
10/04/2017,9,1150.04
10/04/2017,10,1432.82
10/04/2017,11,1657.67
10/04/2017,12,1820.35
10/04/2017,13,1790.7
10/04/2017,14,1836.37
10/04/2017,15,1825.46
10/04/2017,16,1772.25
10/04/2017,17,1782.21
10/04/2017,18,1752.84
10/04/2017,19,1834.3
10/04/2017,20,1827.85
10/04/2017,21,1941.66
10/04/2017,22,2149.08
10/04/2017,23,2155.79
10/04/2017,24,1563.63
11/04/2017,1,1571.51
11/04/2017,2,1590.47
11/04/2017,3,1488.39
11/04/2017,4,1164.65
11/04/2017,5,1091.66
11/04/2017,6,1136.76
11/04/2017,7,1700.22
11/04/2017,8,1738.56
11/04/2017,9,1742.6
11/04/2017,10,1705.37
11/04/2017,11,1680.76
11/04/2017,12,1606.53
11/04/2017,13,1575.6
11/04/2017,14,1556.1
11/04/2017,15,1562.09
11/04/2017,16,1712.71
11/04/2017,17,1644.09
11/04/2017,18,1638.06
11/04/2017,19,1625.25
11/04/2017,20,1718.11
11/04/2017,21,1656.4
11/04/2017,22,1657.47
11/04/2017,23,1752.15
11/04/2017,24,1660.47
12/04/2017,1,1136.39
12/04/2017,2,1218.47
12/04/2017,3,917.72
12/04/2017,4,903.69
12/04/2017,5,903.97
12/04/2017,6,968.63
12/04/2017,7,1105.67
12/04/2017,8,1384.01
12/04/2017,9,1552.07
12/04/2017,10,1709.88
