h,Tilt angle β,δ (declinación),cos(θ) formula 1,cos(θ) formula 2,A,Latitude φ,cos(δ),sin(δ),cos(β),sin(β),cos(ω),sin(ω),cos(y),sin(y),cos(φ),sin(φ)
159,0,22.84265567,-0.366332316,0.994254881,0,19.32361,0.921574398,0.388201789,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
160,0,22.93054361,-0.367665881,0.994162052,0,19.32361,0.920977838,0.389614966,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
161,0,23.01163673,-0.368895578,0.994074324,0,19.32361,0.920425477,0.390918074,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
162,0,23.085911,-0.370021225,0.993992226,0,19.32361,0.919917945,0.392110921,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
163,0,23.15334442,-0.371042659,0.993916243,0,19.32361,0.919455819,0.393193333,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
164,0,23.21391701,-0.371959732,0.993846817,0,19.32361,0.919039625,0.394165154,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
165,0,23.26761081,-0.372772312,0.993784347,0,19.32361,0.918669836,0.395026243,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
166,0,23.31440992,-0.373480283,0.993729186,0,19.32361,0.918346872,0.39577648,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
167,0,23.35430046,-0.374083546,0.993681645,0,19.32361,0.918071102,0.396415756,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
168,0,23.38727062,-0.374582016,0.993641987,0,19.32361,0.917842837,0.396943984,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
169,0,23.41331063,-0.374975622,0.993610433,0,19.32361,0.917662338,0.397361087,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
170,0,23.43241276,-0.37526431,0.993587156,0,19.32361,0.917529809,0.39766701,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
171,0,23.44457137,-0.375448039,0.993572282,0,19.32361,0.9174454,0.397861707,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
172,0,23.44978285,-0.375526785,0.993565893,0,19.32361,0.917409208,0.397945154,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
173,0,23.44804565,-0.375500536,0.993568024,0,19.32361,0.917421273,0.397917338,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
174,0,23.43936028,-0.375369296,0.993578662,0,19.32361,0.917481582,0.397778264,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
175,0,23.42372933,-0.375133083,0.993597751,0,19.32361,0.917590066,0.397527949,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
176,0,23.40115742,-0.37479193,0.993625186,0,19.32361,0.917746603,0.39716643,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
177,0,23.37165125,-0.374345885,0.993660816,0,19.32361,0.917951014,0.396693756,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
178,0,23.33521955,-0.373795009,0.993704445,0,19.32361,0.918203067,0.396109994,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
179,0,23.29187312,-0.37313938,0.993755832,0,19.32361,0.918502477,0.395415225,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
180,0,23.2416248,-0.372379091,0.993814689,0,19.32361,0.918848902,0.394609548,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
